index,actual,predicted,set
0,98.65198,98.177216,train
1,96.56352,95.45029,train
2,94.09307,93.57587,train
3,92.321465,92.36005,train
4,93.71385,91.78837,train
5,88.12308,92.20692,train
6,93.27659,92.75569,train
7,94.04401,94.55383,train
8,97.27528,97.00899,train
9,100.235954,100.44387,train
10,104.86292,104.078064,train
11,106.575356,108.353226,train
12,114.25088,112.427,train
13,121.58928,117.261765,train
14,122.733315,122.44669,train
15,126.559746,126.44531,train
16,127.99355,129.87025,train
17,131.58774,132.04053,train
18,133.99687,133.22433,train
19,132.7007,133.70877,train
20,132.65482,132.9113,train
21,133.2837,131.47151,train
22,128.82693,129.65784,train
23,128.2979,126.442795,train
24,125.517815,122.68035,train
25,122.59855,118.18774,train
26,115.165764,113.950424,train
27,113.50743,109.64746,train
28,108.34806,105.88387,train
29,101.03288,102.25067,train
30,96.24154,98.84609,train
31,94.95113,95.71528,train
32,95.01653,93.53801,train
33,91.763306,92.270966,train
34,89.458824,91.66614,train
35,94.4019,91.703316,train
36,92.91186,93.1937,train
37,90.10016,94.900055,train
38,98.01431,97.00556,train
39,101.77092,100.765076,train
40,105.489944,104.72162,train
41,110.39784,109.00149,train
42,113.75484,113.61017,train
43,115.73302,117.85013,train
44,121.56239,121.91296,train
45,124.21325,125.65294,train
46,127.29582,128.86363,train
47,129.1121,131.24191,train
48,133.98819,132.63943,train
49,133.7006,133.4662,train
50,132.79742,133.22162,train
51,131.03897,132.29228,train
52,129.90099,130.28246,train
53,129.76639,127.46286,train
54,119.73875,124.14632,train
55,120.72096,119.32603,train
56,114.69952,114.88125,train
57,107.39032,110.40602,train
58,103.09925,105.777504,train
59,100.403336,101.92735,train
60,99.34443,98.36536,train
61,96.2855,95.730484,train
62,91.1762,93.66963,train
63,93.60283,92.202484,train
64,93.831696,91.72612,train
65,92.156815,92.25161,train
66,91.08782,93.51422,train
67,97.11867,95.04198,train
68,99.134895,98.21014,train
69,102.37675,101.2657,train
70,104.10492,104.9339,train
71,104.1962,109.08541,train
72,118.40103,112.69935,train
73,115.02745,117.70298,train
74,122.12315,121.29844,train
75,131.22028,125.43048,train
76,129.88979,129.39418,train
77,133.93225,131.71022,train
78,130.33377,133.3671,train
79,130.62521,133.46841,train
80,132.6731,132.78093,train
81,134.79622,131.49222,train
82,129.66551,129.63171,train
83,126.3495,126.56564,train
84,124.401665,122.848915,train
85,122.21859,118.534454,train
86,113.189575,114.11148,train
87,108.36922,109.54171,train
88,104.810844,104.88595,train
89,104.96924,101.26968,train
90,98.981186,98.615425,train
91,100.42079,95.62155,train
92,95.04135,94.13368,train
93,91.45645,92.73564,train
94,94.0745,91.89664,train
95,92.14372,92.32655,train
96,91.618965,93.21217,train
97,96.23108,94.72631,train
98,95.899734,97.5898,train
99,100.922714,100.5077,train
100,107.63433,104.40435,train
101,109.38939,109.03789,train
102,112.503296,113.51436,train
103,117.32675,117.94212,train
104,124.659485,122.22295,train
105,125.32065,126.61094,train
106,128.64978,129.93439,train
107,130.43271,132.17311,train
108,133.72891,133.28398,train
109,133.49701,133.6011,train
110,130.2721,133.25826,train
111,130.62631,131.58183,train
112,128.38101,129.5299,train
113,130.44127,126.53307,train
114,125.76742,122.86282,train
115,121.23061,118.46806,train
116,114.40547,114.00564,train
117,109.63047,109.36634,train
118,105.522194,105.11751,train
119,100.44181,101.564545,train
120,103.64026,98.25917,train
121,91.349045,95.895,train
